Site_ID,Name,Lat,Lon,ann_GPP,upper_GPP,ann_ER,lower_ER,ndays,nyears,coverage,Elev,IGBP,MATemp_C,MAPrecip_mm
CA-NS1,UCI-1850 burn site,55.8792,-98.4839,794.17625,6.701342999999998,-696.73,-4.62814,1098,4,0.75,260,ENF,-2.89,500.29
CA-NS2,UCI-1930 burn site,55.9058,-98.5247,836.8144,5.883064999999998,-538.0122,-3.690205,1408,5,0.77,260,ENF,-2.88,499.82
CA-NS3,UCI-1964 burn site,55.9117,-98.3822,663.0742,6.108819999999999,-646.1954,-4.800705000000001,1460,5,0.8,260,ENF,-2.87,502.22
CA-NS4,UCI-1964 burn site wet,55.9117,-98.3822,410.98125,5.110138999999998,-409.8125,-3.98879,1055,4,0.72,260,ENF,-2.87,502.22
CA-NS5,UCI-1981 burn site,55.8631,-98.485,835.6154,7.429242999999992,-653.8528,-5.349715,1383,5,0.76,260,ENF,-2.86,500.34
CA-NS6,UCI-1989 burn site,55.9167,-98.9644,377.5924,5.235665,-424.56919999999997,-3.2381775,1246,5,0.68,244,OSH,-3.08,495.37
CA-NS7,UCI-1998 burn site,56.6358,-99.9483,418.47825,5.528251,-486.822,-3.8015,1035,4,0.71,297,OSH,-3.52,483.27
CA-Qfo,"Quebec - Eastern Boreal, Mature Black Spruce",49.6925,-74.3421,670.60225,5.670731999999999,-636.38375,-4.7799235,2269,8,0.78,382,ENF,-0.36,962.32
CA-SF1,"Saskatchewan - Western Boreal, forest burned in 1977",54.485,-105.8176,1063.94,8.2861155,-1185.6225,-8.56286,1224,4,0.84,536,ENF,0.4,470
CA-SF2,"Saskatchewan - Western Boreal, forest burned in 1989",54.2539,-105.8775,1308.47,10.729079999999998,-1172.103,-9.997499999999999,1669,5,0.91,520,ENF,0.4,470
CA-SF3,"Saskatchewan - Western Boreal, forest burned in 1998",54.0916,-106.0053,481.10740000000004,4.634686,-540.2698,-4.015467500000001,1425,5,0.78,540,OSH,0.4,470
CH-Cha,Chamau,47.2102,8.4104,2474.054,16.483349999999998,-2478.0969999999998,-14.7712,3503,10,0.96,393,GRA,9.5,1136
CH-Dav,Davos- Seehorn forest,46.8153,9.8559,1185.6921111111112,8.0556885,-964.2021666666667,-6.867982999999999,5838,18,0.89,1639,ENF,2.8,1062
CH-Fru,Früebüel,47.1158,8.5378,2171.598,14.9152,-1756.573,-11.068925,3301,10,0.9,982,GRA,7.2,1651
CH-Lae,Laegeren,47.4781,8.365,1861.0472727272727,12.40805,-1060.6897272727274,-6.388659,3652,11,0.91,689,MF,8.3,1100
CH-Oe1,Oensingen grassland,47.2858,7.7319,1940.5928571428572,13.792895,-1626.5857142857144,-9.415119999999998,2454,7,0.96,450,GRA,9,1100
CH-Oe2,Oensingen2 crop,47.2863,7.7343,1362.2674545454545,14.124265,-1339.759090909091,-8.1941575,3594,11,0.89,452,CRO,9.8,1155
CN-Cha,Changbaishan,42.4025,128.0958,1493.76,12.88925,-1216.0466666666666,-9.6596050000000009,1056,3,0.96,NA,MF,2.16,663.59
CN-Cng,Changling,44.5934,123.5092,544.46025,6.148914000000004,-376.85525,-3.70588,1337,4,0.92,NA,GRA,NA,NA
CN-Dan,Dangxiong,30.4978,91.0664,318.5575,2.7577875000000005,-220.5355,-1.631745,696,2,0.95,NA,GRA,-1.54,246.88
CN-Din,Dinghushan,23.1733,112.5361,1511.6233333333332,6.997989000000002,-966.799,-4.66381,1092,3,1,NA,EBF,19.64,1618.1
CN-Du2,Duolun_grassland (D01),42.0467,116.2836,297.971,3.906185,-240.15800000000002,-3.10428,666,2,0.91,NA,GRA,2.01,318.96
CN-Ha2,Haibei Shrubland,37.6086,101.3269,848.179,8.0154265,-678.601,-5.3920125,1090,3,0.99,NA,WET,NA,NA
CN-HaM,Haibei Alpine Tibet site,37.37,101.18,478.7895,6.504257,-317.4035,-3.895235,540,2,0.74,NA,GRA,NA,NA
CN-Qia,Qianyanzhou,26.7414,115.0581,1757.5166666666667,9.242273999999998,-1200.5233333333333,-6.4000725,1093,3,1,NA,ENF,18.95,1466.75
CN-Sw2,Siziwang Grazed (SZWG),41.7902,111.8971,361.298,1.31381,-4.688772296500001,-1.52416e-6,731,2,1,NA,GRA,NA,NA
CZ-BK1,Bily Kriz forest,49.5021,18.5369,1556.3625000000002,11.018754999999999,-822.184,-5.13227,1614,5,0.88,875,ENF,6.7,1316
CZ-BK2,Bily Kriz grassland,49.4944,18.5429,NA,10.62244,NA,-6.55964,247,1,0.68,855,GRA,6.7,1316
CZ-wet,CZECHWET,49.0247,14.7704,1193.0333333333333,10.843324999999998,-1135.5656666666666,-7.7980089999999995,2986,9,0.91,426,WET,7.7,604
DE-Akm,Anklam,53.8662,13.6834,1368.4403333333335,13.327309999999995,-1363.6623333333334,-9.487575,1907,6,0.87,-1,WET,8.7,558
DE-Geb,Gebesee,51.1001,10.9143,1094.758857142857,14.724225,-879.0658571428571,-6.64577,4116,14,0.81,161.5,CRO,8.5,470
DE-Gri,Grillenburg,50.9495,13.5125,1643.7918181818181,12.425815,-1486.2977272727273,-9.249998999999999,3732,11,0.93,385,GRA,7.8,901
DE-Hai,Hainich,51.0792,10.453,1643.6046153846155,14.100575,-1079.2414615384616,-5.934642,3930,13,0.83,430,DBF,8.3,720
DE-Kli,Klingenberg,50.8929,13.5225,1350.5659090909091,14.407859999999998,-1096.9877272727272,-7.36288,3652,11,0.91,478,CRO,7.6,842
DE-Lkb,Lackenberg,49.0996,13.3047,468.7088,4.960532000000001,-732.7533999999999,-4.5409500000000005,1292,5,0.71,1308,ENF,4,1599
DE-Obe,Oberbärenburg,50.7836,13.7196,1809.8814285714286,13.028464999999997,-1435.1414285714286,-8.73672,2320,7,0.91,734,ENF,5.5,996
DE-RuR,Rollesbroich,50.6219,6.3041,1825.6525000000001,11.352269999999999,-1679.4375,-9.21271,1428,4,0.98,514.7,GRA,7.7,1033
DE-RuS,Selhausen Juelich,50.8659,6.4472,1666.5349999999999,15.82526,-1069.07975,-6.38341,1407,4,0.96,102.755,CRO,10,700
DE-Seh,Selhausen,50.8706,6.4497,1617.4,13.94546,-950.7285,-6.03771,1347,4,0.92,103,CRO,9.9,693
DE-SfN,Schechenfilz Nord,47.8064,11.3275,1035.182,6.608426999999999,-724.436,-5.1815999999999995,1070,3,0.98,590,WET,8.6,1127
DE-Spw,Spreewald,51.8923,14.0337,1910.786,13.460059999999999,-1370.774,-7.763155,1764,5,0.97,61,WET,8.7,558
DE-Tha,Tharandt,50.9636,13.5669,1946.6505263157894,12.6366,-1321.0564736842105,-8.117738000000001,6661,19,0.96,385,ENF,8.2,843
DK-Fou,Foulum,56.4842,9.5872,1081.25,9.622782999999998,-1063.62,-6.576296,334,1,0.92,51,CRO,8,NA
DK-NuF,Nuuk Fen,64.1308,-51.3861,333.9198,4.019983999999998,-350.7816,-2.68214,1453,5,0.8,NA,NA,NA,NA
DK-Sor,Soroe,55.4859,11.6446,2012.9621052631578,16.589335,-1811.237894736842,-10.310445,6388,19,0.92,40,DBF,8.2,660
DK-ZaF,NA,NA,NA,334.706,5.315649999999997,-246.45999999999998,-1.94337,1069,4,0.73,NA,NA,NA,NA
DK-ZaH,NA,NA,NA,103.88143333333333,1.5907140000000002,-115.1198888888889,-0.986181,2644,9,0.8,NA,NA,NA,NA
ES-LgS,Laguna Seca,37.0979,-2.9658,460.359,3.3171195,-335.95866666666666,-1.92905,1044,3,0.95,2267,OSH,NA,NA
FI-Hyy,Hyytiala,61.8475,24.295,1159.5163157894738,9.713284,-913.987,-6.140269,6000,19,0.86,181,ENF,3.8,709
FI-Jok,Jokioinen,60.8986,23.5135,434.9235,6.831872,-592.62025,-5.06338,993,4,0.68,109,CRO,4.6,627
FI-Lom,Lompolojänkkä,67.9972,24.2092,455.244,7.010398,-406.7866666666667,-3.5925525,765,3,0.7,274,WET,-1.4,484
